CLIFF_RED_LO,N_RED_HI,is_v2_default,nsl_kdd_v2_r2l_red_rate,nsl_kdd_v2_r2l_nongreen_rate,nsl_kdd_v2_false_alarm_rate,nsl_kdd_v2_total_red_rate,nsl_kdd_v2_total_amber_rate,nsl_kdd_v2_total_green_rate,unsw_nb15_v2_r2l_red_rate,unsw_nb15_v2_r2l_nongreen_rate,unsw_nb15_v2_false_alarm_rate,unsw_nb15_v2_total_red_rate,unsw_nb15_v2_total_amber_rate,unsw_nb15_v2_total_green_rate,cic_ids2017_v2_r2l_red_rate,cic_ids2017_v2_r2l_nongreen_rate,cic_ids2017_v2_false_alarm_rate,cic_ids2017_v2_total_red_rate,cic_ids2017_v2_total_amber_rate,cic_ids2017_v2_total_green_rate
0.2,100,False,0.8482003129890454,0.9992175273865415,0.9616919393455706,0.8553333333333333,0.11866666666666667,0.026,0.030833333333333334,0.030833333333333334,0.2706497797356828,0.18033333333333335,0.0,0.8196666666666667,0.8566666666666667,0.8716666666666667,0.7615963591808157,0.3531666666666667,0.382,0.2648333333333333
0.25,10,False,0.7879499217527387,0.9992175273865415,0.9616919393455706,0.8385,0.1355,0.026,0.0025,0.030833333333333334,0.2706497797356828,0.0215,0.15883333333333333,0.8196666666666667,0.0125,0.8716666666666667,0.7615963591808157,0.18433333333333332,0.5508333333333333,0.2648333333333333
0.25,20,False,0.7879499217527387,0.9992175273865415,0.9616919393455706,0.8385,0.1355,0.026,0.0075,0.030833333333333334,0.2706497797356828,0.024666666666666667,0.15566666666666668,0.8196666666666667,0.050833333333333335,0.8716666666666667,0.7615963591808157,0.192,0.5431666666666667,0.2648333333333333
0.25,30,False,0.7879499217527387,0.9992175273865415,0.9616919393455706,0.8385,0.1355,0.026,0.013333333333333334,0.030833333333333334,0.2706497797356828,0.030333333333333334,0.15,0.8196666666666667,0.050833333333333335,0.8716666666666667,0.7615963591808157,0.192,0.5431666666666667,0.2648333333333333
0.25,50,False,0.8482003129890454,0.9992175273865415,0.9616919393455706,0.8553333333333333,0.11866666666666667,0.026,0.0175,0.030833333333333334,0.2706497797356828,0.035333333333333335,0.145,0.8196666666666667,0.8566666666666667,0.8716666666666667,0.7615963591808157,0.3531666666666667,0.382,0.2648333333333333
0.25,100,False,0.8482003129890454,0.9992175273865415,0.9616919393455706,0.8553333333333333,0.11866666666666667,0.026,0.030833333333333334,0.030833333333333334,0.2706497797356828,0.18033333333333335,0.0,0.8196666666666667,0.8566666666666667,0.8716666666666667,0.7615963591808157,0.3531666666666667,0.382,0.2648333333333333
0.3,10,False,0.7879499217527387,0.9992175273865415,0.9616919393455706,0.8385,0.1355,0.026,0.0025,0.030833333333333334,0.2706497797356828,0.0215,0.15883333333333333,0.8196666666666667,0.0125,0.8716666666666667,0.7615963591808157,0.18433333333333332,0.5508333333333333,0.2648333333333333
0.3,20,False,0.7879499217527387,0.9992175273865415,0.9616919393455706,0.8385,0.1355,0.026,0.0075,0.030833333333333334,0.2706497797356828,0.024666666666666667,0.15566666666666668,0.8196666666666667,0.050833333333333335,0.8716666666666667,0.7615963591808157,0.192,0.5431666666666667,0.2648333333333333
0.3,30,False,0.7879499217527387,0.9992175273865415,0.9616919393455706,0.8385,0.1355,0.026,0.013333333333333334,0.030833333333333334,0.2706497797356828,0.030333333333333334,0.15,0.8196666666666667,0.050833333333333335,0.8716666666666667,0.7615963591808157,0.192,0.5431666666666667,0.2648333333333333
0.3,50,False,0.8482003129890454,0.9992175273865415,0.9616919393455706,0.8553333333333333,0.11866666666666667,0.026,0.0175,0.030833333333333334,0.2706497797356828,0.035333333333333335,0.145,0.8196666666666667,0.8566666666666667,0.8716666666666667,0.7615963591808157,0.3531666666666667,0.382,0.2648333333333333
0.3,100,False,0.8482003129890454,0.9992175273865415,0.9616919393455706,0.8553333333333333,0.11866666666666667,0.026,0.030833333333333334,0.030833333333333334,0.2706497797356828,0.18033333333333335,0.0,0.8196666666666667,0.8566666666666667,0.8716666666666667,0.7615963591808157,0.3531666666666667,0.382,0.2648333333333333
0.4,10,False,0.7879499217527387,0.9992175273865415,0.9616919393455706,0.8385,0.1355,0.026,0.0025,0.030833333333333334,0.2706497797356828,0.0215,0.15883333333333333,0.8196666666666667,0.0125,0.8716666666666667,0.7615963591808157,0.18433333333333332,0.5508333333333333,0.2648333333333333
0.4,20,False,0.7879499217527387,0.9992175273865415,0.9616919393455706,0.8385,0.1355,0.026,0.0075,0.030833333333333334,0.2706497797356828,0.024666666666666667,0.15566666666666668,0.8196666666666667,0.050833333333333335,0.8716666666666667,0.7615963591808157,0.192,0.5431666666666667,0.2648333333333333
0.4,30,False,0.7879499217527387,0.9992175273865415,0.9616919393455706,0.8385,0.1355,0.026,0.013333333333333334,0.030833333333333334,0.2706497797356828,0.030333333333333334,0.15,0.8196666666666667,0.050833333333333335,0.8716666666666667,0.7615963591808157,0.192,0.5431666666666667,0.2648333333333333
0.4,50,False,0.8482003129890454,0.9992175273865415,0.9616919393455706,0.8553333333333333,0.11866666666666667,0.026,0.0175,0.030833333333333334,0.2706497797356828,0.035333333333333335,0.145,0.8196666666666667,0.8566666666666667,0.8716666666666667,0.7615963591808157,0.3531666666666667,0.382,0.2648333333333333
0.4,100,False,0.8482003129890454,0.9992175273865415,0.9616919393455706,0.8553333333333333,0.11866666666666667,0.026,0.030833333333333334,0.030833333333333334,0.2706497797356828,0.18033333333333335,0.0,0.8196666666666667,0.8566666666666667,0.8716666666666667,0.7615963591808157,0.3531666666666667,0.382,0.2648333333333333
