dataset,model,predicted_class_idx,predicted_class,mondrian_threshold,is_fallback,n_calib,cliff_fraction,signal_threshold,signal_cliff,signal_support,calib_health
nsl_kdd_v2,rf_5class_cw,0,Normal,1.0646886856258142e-05,False,2691,0.0,red,green,green,red
nsl_kdd_v2,rf_5class_cw,1,DoS,1.0646886856258142e-05,False,1838,0.0,red,green,green,red
nsl_kdd_v2,rf_5class_cw,2,Probe,1.0646886856258142e-05,False,467,0.0,red,green,green,red
nsl_kdd_v2,rf_5class_cw,3,R2L,0.6515731034498284,False,41,0.024390243902439025,green,green,amber,amber
nsl_kdd_v2,rf_5class_cw,4,U2R,1.0646886856258142e-05,True,0,,red,red,red,red
nsl_kdd_v2,xgb_5class_cw,0,Normal,2.086162567138672e-06,False,2695,0.0,red,green,green,red
nsl_kdd_v2,xgb_5class_cw,1,DoS,2.0265579223632812e-06,False,1836,0.0,red,green,green,red
nsl_kdd_v2,xgb_5class_cw,2,Probe,2.0265579223632812e-06,False,466,0.0,red,green,green,red
nsl_kdd_v2,xgb_5class_cw,3,R2L,0.4321458041667938,False,40,0.0,green,green,amber,amber
nsl_kdd_v2,xgb_5class_cw,4,U2R,2.0265579223632812e-06,True,0,,red,red,red,red
nsl_kdd_v2,dnn_5class_cw,0,Normal,0.031620092689991,False,2691,0.0014864362690449647,amber,green,green,amber
nsl_kdd_v2,dnn_5class_cw,1,DoS,9.012222290039062e-05,False,1841,0.0021727322107550242,red,green,green,red
nsl_kdd_v2,dnn_5class_cw,2,Probe,0.18288248777389526,False,461,0.0,green,green,green,green
nsl_kdd_v2,dnn_5class_cw,3,R2L,0.8595784306526184,False,43,0.0,green,green,amber,amber
nsl_kdd_v2,dnn_5class_cw,4,U2R,0.02159399911761284,True,1,0.0,amber,green,red,red
nsl_kdd_v2,rf_5class_smote,0,Normal,1.0123870551986838e-05,False,2689,0.0,red,green,green,red
nsl_kdd_v2,rf_5class_smote,1,DoS,9.556758022055689e-06,False,1838,0.0,red,green,green,red
nsl_kdd_v2,rf_5class_smote,2,Probe,9.556758022055689e-06,False,466,0.0,red,green,green,red
nsl_kdd_v2,rf_5class_smote,3,R2L,0.5838168046881556,False,44,0.022727272727272728,green,green,amber,amber
nsl_kdd_v2,rf_5class_smote,4,U2R,9.586237386227658e-06,True,0,,red,red,red,red
nsl_kdd_v2,xgb_5class_smote,0,Normal,2.6226043701171875e-06,False,2696,0.0,red,green,green,red
nsl_kdd_v2,xgb_5class_smote,1,DoS,2.6226043701171875e-06,False,1836,0.0,red,green,green,red
nsl_kdd_v2,xgb_5class_smote,2,Probe,2.6226043701171875e-06,False,466,0.0,red,green,green,red
nsl_kdd_v2,xgb_5class_smote,3,R2L,0.025644950568675995,False,39,0.02564102564102564,amber,green,amber,amber
nsl_kdd_v2,xgb_5class_smote,4,U2R,2.6226043701171875e-06,True,0,,red,red,red,red
nsl_kdd_v2,dnn_5class_smote,0,Normal,0.00010460615158081055,False,2696,0.001112759643916914,red,green,green,red
nsl_kdd_v2,dnn_5class_smote,1,DoS,0.00010406970977783203,False,1839,0.000543773790103317,red,green,green,red
nsl_kdd_v2,dnn_5class_smote,2,Probe,0.008349001407623291,False,464,0.0,amber,green,green,amber
nsl_kdd_v2,dnn_5class_smote,3,R2L,0.9333398342132568,False,37,0.0,green,green,amber,amber
nsl_kdd_v2,dnn_5class_smote,4,U2R,0.0044321417808532715,True,1,0.0,amber,green,red,red
unsw_nb15_v2,rf_5class_cw,0,Normal,0.508852118727751,False,2178,0.0009182736455463728,green,green,green,green
unsw_nb15_v2,rf_5class_cw,1,DoS,0.804796172841667,True,16,0.0625,green,amber,red,red
unsw_nb15_v2,rf_5class_cw,2,Probe,0.5803534129233457,False,339,0.011799410029498525,green,green,green,green
unsw_nb15_v2,rf_5class_cw,3,R2L,0.89307657822119,False,2830,0.009187279151943463,green,green,green,green
unsw_nb15_v2,rf_5class_cw,4,U2R,0.9780305604999536,False,52,0.09615384615384616,amber,amber,amber,amber
unsw_nb15_v2,xgb_5class_cw,0,Normal,0.49233824014663696,False,2138,0.0004677268475210477,green,green,green,green
unsw_nb15_v2,xgb_5class_cw,1,DoS,0.8407449722290039,False,39,0.0,green,green,amber,amber
unsw_nb15_v2,xgb_5class_cw,2,Probe,0.7467396855354309,False,359,0.008356545961002786,green,green,green,green
unsw_nb15_v2,xgb_5class_cw,3,R2L,0.8903102278709412,False,2811,0.008537886872998933,green,green,green,green
unsw_nb15_v2,xgb_5class_cw,4,U2R,0.9951592683792114,False,68,0.11764705882352941,amber,amber,amber,amber
unsw_nb15_v2,dnn_5class_cw,0,Normal,0.0,False,1811,0.0,red,green,green,red
unsw_nb15_v2,dnn_5class_cw,1,DoS,0.8166871070861816,True,16,0.0625,green,amber,red,red
unsw_nb15_v2,dnn_5class_cw,2,Probe,0.8506355881690979,False,423,0.02364066193853428,green,green,green,green
unsw_nb15_v2,dnn_5class_cw,3,R2L,0.8910475969314575,False,3103,0.007412181759587496,green,green,green,green
unsw_nb15_v2,dnn_5class_cw,4,U2R,0.9770077466964722,False,62,0.12903225806451613,amber,amber,amber,amber
unsw_nb15_v2,rf_5class_smote,0,Normal,0.4898282879714695,False,2131,0.0,green,green,green,green
unsw_nb15_v2,rf_5class_smote,1,DoS,0.821473904734338,True,18,0.1111111111111111,green,amber,red,red
unsw_nb15_v2,rf_5class_smote,2,Probe,0.6556167977121395,False,332,0.006024096385542169,green,green,green,green
unsw_nb15_v2,rf_5class_smote,3,R2L,0.893963805851238,False,2880,0.008680555555555556,green,green,green,green
unsw_nb15_v2,rf_5class_smote,4,U2R,0.9806986207336031,False,54,0.09259259259259259,amber,amber,amber,amber
unsw_nb15_v2,xgb_5class_smote,0,Normal,0.5203753709793091,False,2174,0.0,green,green,green,green
unsw_nb15_v2,xgb_5class_smote,1,DoS,0.8033283948898315,True,26,0.0,green,green,red,red
unsw_nb15_v2,xgb_5class_smote,2,Probe,0.735349714756012,False,343,0.008746355685131196,green,green,green,green
unsw_nb15_v2,xgb_5class_smote,3,R2L,0.8894880414009094,False,2808,0.009615384615384616,green,green,green,green
unsw_nb15_v2,xgb_5class_smote,4,U2R,0.9834945797920227,False,64,0.078125,amber,amber,amber,amber
unsw_nb15_v2,dnn_5class_smote,0,Normal,0.5049170851707458,False,1993,0.0005017561465127947,green,green,green,green
unsw_nb15_v2,dnn_5class_smote,1,DoS,0.8247913122177124,True,25,0.04,green,green,red,red
unsw_nb15_v2,dnn_5class_smote,2,Probe,0.8196023106575012,False,379,0.018469656992084433,green,green,green,green
unsw_nb15_v2,dnn_5class_smote,3,R2L,0.8927103281021118,False,2953,0.0060954961056552655,green,green,green,green
unsw_nb15_v2,dnn_5class_smote,4,U2R,0.9813778400421143,False,65,0.1076923076923077,amber,amber,amber,amber
cic_ids2017_v2,rf_5class_cw,0,Normal,0.0011074155635416583,False,6425,0.0004669260700389105,amber,green,green,amber
cic_ids2017_v2,rf_5class_cw,1,DoS,0.01727519033700231,False,1077,0.0,amber,green,green,amber
cic_ids2017_v2,rf_5class_cw,2,Probe,0.012733246247872648,False,455,0.008791208791208791,amber,green,green,amber
cic_ids2017_v2,rf_5class_cw,3,R2L,0.4708609292325353,False,43,0.0,green,green,amber,amber
cic_ids2017_v2,rf_5class_cw,4,U2R,0.006403103777999242,True,0,,amber,red,red,red
cic_ids2017_v2,xgb_5class_cw,0,Normal,0.0006804466247558594,False,6427,0.0,red,green,green,red
cic_ids2017_v2,xgb_5class_cw,1,DoS,0.009773492813110352,False,1074,0.0,amber,green,green,amber
cic_ids2017_v2,xgb_5class_cw,2,Probe,0.02907489612698555,False,454,0.006607929515418502,amber,green,green,amber
cic_ids2017_v2,xgb_5class_cw,3,R2L,0.02895846590399742,False,45,0.0,amber,green,amber,amber
cic_ids2017_v2,xgb_5class_cw,4,U2R,0.00156480073928833,True,0,,amber,red,red,red
cic_ids2017_v2,dnn_5class_cw,0,Normal,0.4771433174610138,False,6627,0.0051305266334691416,green,green,green,green
cic_ids2017_v2,dnn_5class_cw,1,DoS,0.49221915006637573,False,839,0.0,green,green,green,green
cic_ids2017_v2,dnn_5class_cw,2,Probe,0.8286464214324951,False,522,0.0019157088122605363,green,green,green,green
cic_ids2017_v2,dnn_5class_cw,3,R2L,0.5230257511138916,True,12,0.0,green,green,red,red
cic_ids2017_v2,dnn_5class_cw,4,U2R,0.5230257511138916,True,0,,green,red,red,red
cic_ids2017_v2,rf_5class_smote,0,Normal,0.0009135153850574618,False,6425,0.0004669260700389105,red,green,green,red
cic_ids2017_v2,rf_5class_smote,1,DoS,0.02337204130973774,False,1076,0.0,amber,green,green,amber
cic_ids2017_v2,rf_5class_smote,2,Probe,0.004255890575112997,False,454,0.00881057268722467,amber,green,green,amber
cic_ids2017_v2,rf_5class_smote,3,R2L,0.9209928037459517,False,45,0.0,green,green,amber,amber
cic_ids2017_v2,rf_5class_smote,4,U2R,0.004071871096882118,True,0,,amber,red,red,red
cic_ids2017_v2,xgb_5class_smote,0,Normal,0.0004558563232421875,False,6421,0.0,red,green,green,red
