dataset,model,calibrator,target_risk,per_class_thresholds,coverage,achieved_risk,risk_met,thr_Normal,thr_DoS,thr_Probe,thr_R2L,thr_U2R,cov_Normal,cov_DoS,cov_Probe,cov_R2L,cov_U2R,risk_Normal,risk_DoS,risk_Probe,risk_R2L,risk_U2R
nsl_kdd_v2,rf_5class_cw,raw,0.02,True,0.9457061745919092,0.2270168855534709,False,0.61,0.47000000000000003,0.515,0.48,0.47000000000000003,0.9267377170051612,0.9925131870001701,0.9504036908881199,0.9090909090909091,1.0,0.3174453927383191,0.039259386250642896,0.1328883495145631,0.1,0.6666666666666666
nsl_kdd_v2,rf_5class_cw,raw,0.02,False,0.9920156139105749,0.26193883026292253,False,0.47000000000000003,0.47000000000000003,0.47000000000000003,0.47000000000000003,0.47000000000000003,0.9939003954688652,0.9925131870001701,0.9746251441753172,0.9090909090909091,1.0,0.3622201240895603,0.039259386250642896,0.15088757396449703,0.1,0.6666666666666666
nsl_kdd_v2,rf_5class_cw,raw,0.05,True,0.9457061745919092,0.2270168855534709,False,0.61,0.47000000000000003,0.515,0.48,0.47000000000000003,0.9267377170051612,0.9925131870001701,0.9504036908881199,0.9090909090909091,1.0,0.3174453927383191,0.039259386250642896,0.1328883495145631,0.1,0.6666666666666666
nsl_kdd_v2,rf_5class_cw,raw,0.05,False,0.9920156139105749,0.26193883026292253,False,0.47000000000000003,0.47000000000000003,0.47000000000000003,0.47000000000000003,0.47000000000000003,0.9939003954688652,0.9925131870001701,0.9746251441753172,0.9090909090909091,1.0,0.3622201240895603,0.039259386250642896,0.15088757396449703,0.1,0.6666666666666666
nsl_kdd_v2,rf_5class_cw,raw,0.1,True,0.9457061745919092,0.2270168855534709,False,0.61,0.47000000000000003,0.515,0.48,0.47000000000000003,0.9267377170051612,0.9925131870001701,0.9504036908881199,0.9090909090909091,1.0,0.3174453927383191,0.039259386250642896,0.1328883495145631,0.1,0.6666666666666666
nsl_kdd_v2,rf_5class_cw,raw,0.1,False,0.9920156139105749,0.26193883026292253,False,0.47000000000000003,0.47000000000000003,0.47000000000000003,0.47000000000000003,0.47000000000000003,0.9939003954688652,0.9925131870001701,0.9746251441753172,0.9090909090909091,1.0,0.3622201240895603,0.039259386250642896,0.15088757396449703,0.1,0.6666666666666666
nsl_kdd_v2,rf_5class_cw,temperature,0.02,True,0.9516057487579844,0.23236843331934928,False,0.697191311809556,0.5331818096326648,0.5565686192051194,0.5179919799945076,0.5179919799945076,0.9352503519002614,0.990131019227497,0.9619377162629758,0.9090909090909091,1.0,0.32351465634630544,0.0393538408661282,0.1432853717026379,0.1,0.6666666666666666
nsl_kdd_v2,rf_5class_cw,temperature,0.02,False,0.993346344925479,0.26292756988479055,False,0.5179919799945076,0.5179919799945076,0.5179919799945076,0.5179919799945076,0.5179919799945076,0.9961123399691668,0.9926833418410754,0.972318339100346,0.9090909090909091,1.0,0.36363636363636365,0.03925265683921837,0.1494661921708185,0.1,0.6666666666666666
nsl_kdd_v2,rf_5class_cw,temperature,0.05,True,0.9516057487579844,0.23236843331934928,False,0.697191311809556,0.5331818096326648,0.5565686192051194,0.5179919799945076,0.5179919799945076,0.9352503519002614,0.990131019227497,0.9619377162629758,0.9090909090909091,1.0,0.32351465634630544,0.0393538408661282,0.1432853717026379,0.1,0.6666666666666666
nsl_kdd_v2,rf_5class_cw,temperature,0.05,False,0.993346344925479,0.26292756988479055,False,0.5179919799945076,0.5179919799945076,0.5179919799945076,0.5179919799945076,0.5179919799945076,0.9961123399691668,0.9926833418410754,0.972318339100346,0.9090909090909091,1.0,0.36363636363636365,0.03925265683921837,0.1494661921708185,0.1,0.6666666666666666
nsl_kdd_v2,rf_5class_cw,temperature,0.1,True,0.9516057487579844,0.23236843331934928,False,0.697191311809556,0.5331818096326648,0.5565686192051194,0.5179919799945076,0.5179919799945076,0.9352503519002614,0.990131019227497,0.9619377162629758,0.9090909090909091,1.0,0.32351465634630544,0.0393538408661282,0.1432853717026379,0.1,0.6666666666666666
nsl_kdd_v2,rf_5class_cw,temperature,0.1,False,0.993346344925479,0.26292756988479055,False,0.5179919799945076,0.5179919799945076,0.5179919799945076,0.5179919799945076,0.5179919799945076,0.9961123399691668,0.9926833418410754,0.972318339100346,0.9090909090909091,1.0,0.36363636363636365,0.03925265683921837,0.1494661921708185,0.1,0.6666666666666666
nsl_kdd_v2,rf_5class_cw,perclass_isotonic_renorm,0.02,True,0.9476579134137686,0.22224302565062723,False,0.5262120538733551,0.8468309859154931,0.5978835978835979,0.8227848101265822,0.5262120538733551,0.9954941860465116,0.8843231508761048,0.9004629629629629,0.043209876543209874,0.8461538461538461,0.31179734267776316,0.04032965106084517,0.1249357326478149,0.0,0.36363636363636365
nsl_kdd_v2,rf_5class_cw,perclass_isotonic_renorm,0.02,False,0.9944996451383961,0.21489741302408563,False,0.5262120538733551,0.5262120538733551,0.5262120538733551,0.5262120538733551,0.5262120538733551,0.9954941860465116,0.9950379903861064,0.9875,0.9938271604938271,0.8461538461538461,0.31179734267776316,0.03630980208820321,0.1420534458509142,0.043478260869565216,0.36363636363636365
nsl_kdd_v2,rf_5class_cw,perclass_isotonic_renorm,0.05,True,0.9539123491838183,0.22097186700767263,False,0.5262120538733551,0.8468309859154931,0.5978835978835979,0.6129032258064516,0.5262120538733551,0.9954941860465116,0.8843231508761048,0.9004629629629629,0.9135802469135802,0.8461538461538461,0.31179734267776316,0.04032965106084517,0.1249357326478149,0.02702702702702703,0.36363636363636365
nsl_kdd_v2,rf_5class_cw,perclass_isotonic_renorm,0.05,False,0.9944996451383961,0.21489741302408563,False,0.5262120538733551,0.5262120538733551,0.5262120538733551,0.5262120538733551,0.5262120538733551,0.9954941860465116,0.9950379903861064,0.9875,0.9938271604938271,0.8461538461538461,0.31179734267776316,0.03630980208820321,0.1420534458509142,0.043478260869565216,0.36363636363636365
nsl_kdd_v2,rf_5class_cw,perclass_isotonic_renorm,0.1,True,0.9540010645848119,0.22095131817547775,False,0.5262120538733551,0.8468309859154931,0.5978835978835979,0.6,0.5262120538733551,0.9954941860465116,0.8843231508761048,0.9004629629629629,0.9259259259259259,0.8461538461538461,0.31179734267776316,0.04032965106084517,0.1249357326478149,0.02666666666666667,0.36363636363636365
nsl_kdd_v2,rf_5class_cw,perclass_isotonic_renorm,0.1,False,0.9944996451383961,0.21489741302408563,False,0.5262120538733551,0.5262120538733551,0.5262120538733551,0.5262120538733551,0.5262120538733551,0.9954941860465116,0.9950379903861064,0.9875,0.9938271604938271,0.8461538461538461,0.31179734267776316,0.03630980208820321,0.1420534458509142,0.043478260869565216,0.36363636363636365
nsl_kdd_v2,rf_5class_cw,toplabel_isotonic,0.02,True,0.9927253371185237,0.2622877569258266,False,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.9946377103022991,0.9930236515228859,0.9757785467128027,0.9090909090909091,1.0,0.3626929038344902,0.03923920493488691,0.15130023640661938,0.1,0.6666666666666666
nsl_kdd_v2,rf_5class_cw,toplabel_isotonic,0.02,False,0.9927253371185237,0.2622877569258266,False,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.9946377103022991,0.9930236515228859,0.9757785467128027,0.9090909090909091,1.0,0.3626929038344902,0.03923920493488691,0.15130023640661938,0.1,0.6666666666666666
nsl_kdd_v2,rf_5class_cw,toplabel_isotonic,0.05,True,0.9927253371185237,0.2622877569258266,False,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.9946377103022991,0.9930236515228859,0.9757785467128027,0.9090909090909091,1.0,0.3626929038344902,0.03923920493488691,0.15130023640661938,0.1,0.6666666666666666
nsl_kdd_v2,rf_5class_cw,toplabel_isotonic,0.05,False,0.9927253371185237,0.2622877569258266,False,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.9946377103022991,0.9930236515228859,0.9757785467128027,0.9090909090909091,1.0,0.3626929038344902,0.03923920493488691,0.15130023640661938,0.1,0.6666666666666666
nsl_kdd_v2,rf_5class_cw,toplabel_isotonic,0.1,True,0.9927253371185237,0.2622877569258266,False,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.9946377103022991,0.9930236515228859,0.9757785467128027,0.9090909090909091,1.0,0.3626929038344902,0.03923920493488691,0.15130023640661938,0.1,0.6666666666666666
nsl_kdd_v2,rf_5class_cw,toplabel_isotonic,0.1,False,0.9927253371185237,0.2622877569258266,False,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.9946377103022991,0.9930236515228859,0.9757785467128027,0.9090909090909091,1.0,0.3626929038344902,0.03923920493488691,0.15130023640661938,0.1,0.6666666666666666
nsl_kdd_v2,rf_5class_cw,cctl,0.02,True,0.9620741660752307,0.23892295633731384,False,0.4,0.6052631578947368,0.7857142857142857,0.5,0.4,0.9454387023258931,0.9930236515228859,1.0,1.0,1.0,0.3303792981212336,0.03923920493488691,0.16724336793540945,0.09090909090909091,0.6666666666666666
nsl_kdd_v2,rf_5class_cw,cctl,0.02,False,0.9621185237757275,0.2389119409866298,False,0.4,0.4,0.4,0.4,0.4,0.9454387023258931,0.9931938063637911,1.0,1.0,1.0,0.3303792981212336,0.03923248243960939,0.16724336793540945,0.09090909090909091,0.6666666666666666
nsl_kdd_v2,rf_5class_cw,cctl,0.05,True,0.9620741660752307,0.23892295633731384,False,0.4,0.6052631578947368,0.7857142857142857,0.5,0.4,0.9454387023258931,0.9930236515228859,1.0,1.0,1.0,0.3303792981212336,0.03923920493488691,0.16724336793540945,0.09090909090909091,0.6666666666666666
